clone,timepoint,median_mfi
1,0,26062.77539
2,0,52049.25
3,0,30789.64844
4,0,41909.76563
5,0,45425.61719
6,0,33465.45313
7,0,33003.85938
8,0,106.795509
9,0,46060.94531
10,0,33745.50781
11,0,45048.63672
12,0,46189.07422
1,4,8275.171875
2,4,25990.47656
3,4,4120.693848
4,4,14503.40625
5,4,13455.41797
6,4,6888.974121
7,4,15807.69141
8,4,81.797211
9,4,16850.61133
10,4,8944.503906
11,4,3738.921387
12,4,17567.57031
1,7,714.054382
2,7,1887.868164
3,7,291.114441
4,7,1554.259644
5,7,942.695435
6,7,351.640625
7,7,1254.962402
8,7,82.941231
9,7,1437.951904
10,7,708.12854
11,7,191.380295
12,7,1167.519775
1,11,118.685104
2,11,39.673094
3,11,66.413811
4,11,164.721985
5,11,89.401192
6,11,99.078667
7,11,152.395554
8,11,77.376747
9,11,157.999435
10,11,74.218887
11,11,56.688316
12,11,101.305115
1,14,92.946472
2,14,26.239832
3,14,74.425346
4,14,92.946472
5,14,62.650421
6,14,54.073532
7,14,77.807823
8,14,254.068085
9,14,80.893364
10,14,64.77401
11,14,96.096977
12,14,69.047508